Date,From,Latitude,Longitude,To
2/14/10,Boston / Logan (BOS/KBOS),,,Minneapolis / St Paul (MSP/KMSP)
2/14/10,Minneapolis / St Paul (MSP/KMSP),,,Bozeman / Gallatin Field (BZN/KBZN)
3/10/10,Bozeman / Gallatin Field (BZN/KBZN),,,Minneapolis / St Paul (MSP/KMSP)
3/10/10,Minneapolis / St Paul (MSP/KMSP),,,Boston / Logan (BOS/KBOS)
3/12/10,Bozeman / Gallatin Field (BZN/KBZN),,,Great Falls / Great Falls (GTF/KGTF)
3/12/10,Great Falls / Great Falls (GTF/KGTF),,,Minneapolis / St Paul (MSP/KMSP)
3/12/10,Minneapolis / St Paul (MSP/KMSP),,,Boston / Logan (BOS/KBOS)
3/20/10,Windsor Locks / Bradley (BDL/KBDL),,,Minneapolis / St Paul (MSP/KMSP)
3/20/10,Minneapolis / St Paul (MSP/KMSP),,,Bozeman / Gallatin Field (BZN/KBZN)
3/21/10,Boston / Logan (BOS/KBOS),,,Atlanta / Hartsfield-Jackson (ATL/KATL)
3/21/10,Atlanta / Hartsfield-Jackson (ATL/KATL),,,Bozeman / Gallatin Field (BZN/KBZN)
5/10/10,Bozeman / Gallatin Field (BZN/KBZN),,,Denver / Denver (DEN/KDEN)
5/10/10,Denver / Denver (DEN/KDEN),,,Boston / Logan (BOS/KBOS)
10/14/10,Boston / Logan (BOS/KBOS),,,Salt Lake City / Salt Lake City (SLC/KSLC)
10/14/10,Salt Lake City / Salt Lake City (SLC/KSLC),,,Boston / Logan (BOS/KBOS)
10/19/10,Providence / Providence-Theodore Francis (PVD/KPVD),,,Minneapolis / St Paul (MSP/KMSP)
10/19/10,Minneapolis / St Paul (MSP/KMSP),,,Bozeman / Gallatin Field (BZN/KBZN)
11/24/10,Butte / Bert Mooney (BTM/KBTM),,,Salt Lake City / Salt Lake City (SLC/KSLC)
11/24/10,Salt Lake City / Salt Lake City (SLC/KSLC),,,Boston / Logan (BOS/KBOS)
11/29/10,Boston / Logan (BOS/KBOS),,,Salt Lake City / Salt Lake City (SLC/KSLC)
11/29/10,Salt Lake City / Salt Lake City (SLC/KSLC),,,Butte / Bert Mooney (BTM/KBTM)
12/20/10,Bozeman / Gallatin Field (BZN/KBZN),,,Minneapolis / St Paul (MSP/KMSP)
12/20/10,Minneapolis / St Paul (MSP/KMSP),,,Boston / Logan (BOS/KBOS)
12/23/10,Boston / Logan (BOS/KBOS),,,Phoenix / Sky Harbor (PHX/KPHX)
12/23/10,Phoenix / Sky Harbor (PHX/KPHX),,,Kailua-Kona / Kailua-Kona (KOA/PHKO)
12/30/10,Kailua-Kona / Kailua-Kona (KOA/PHKO),,,Phoenix / Sky Harbor (PHX/KPHX)
12/31/10,Phoenix / Sky Harbor (PHX/KPHX),,,Boston / Logan (BOS/KBOS)
1/11/11,Boston / Logan (BOS/KBOS),,,Minneapolis / St Paul (MSP/KMSP)
1/11/11,Minneapolis / St Paul (MSP/KMSP),,,Bozeman / Gallatin Field (BZN/KBZN)
2/10/11,Bozeman / Gallatin Field (BZN/KBZN),,,Minneapolis / St Paul (MSP/KMSP)
2/10/11,Minneapolis / St Paul (MSP/KMSP),,,Windsor Locks / Bradley (BDL/KBDL)
